"Timestamp","What is your age?","Which Social Media platform/s do you like the most or use the most?","How much time do you spend on social media in a day?(hrs)","How much time do you spend on physical activities in a day?(hrs)","How much do you feel that you are exposed to inappropriate content on these platforms?","Have you ever been a victim of any of these cyber crimes?","Which type of communication do you generally prefer?"
"2021/12/29 3:48:30 pm GMT+5:30","20","Twitter","1 to 2.5","1 to 2.5","4","Photos being misused","Through phone"
"2021/12/29 4:36:06 pm GMT+5:30","21","Twitter;Whatsapp;Facebook;Instagram;Youtube;Hike;Snapchat","1 to 2.5","Less than 1","10","None","Through phone;Text message;Face to face;Through social media"
"2021/12/29 7:13:19 pm GMT+5:30","21","Twitter;Whatsapp;Facebook;Instagram;Youtube;Snapchat","More than 4","None","6","Fake profiles","Through social media"
"2021/12/29 7:22:59 pm GMT+5:30","15","Youtube","More than 4","Less than 1","9","None","Face to face"
"2022/01/02 9:59:14 pm GMT+5:30","21","Whatsapp;Instagram;Youtube","More than 4","1 to 2.5","6","None","Through phone"
"2022/01/02 10:18:13 pm GMT+5:30","21","Whatsapp;Instagram;Youtube","More than 4","More than 4","4","None","Through phone;Face to face"
"2022/01/02 10:24:39 pm GMT+5:30","21","Whatsapp;Instagram","More than 4","Less than 1","10","None","Through phone;Text message;Through social media"
"2022/01/02 10:24:56 pm GMT+5:30","21","Whatsapp;Instagram;Youtube","1 to 2.5","1 to 2.5","3","None","Through phone;Text message;Through social media"
"2022/01/02 10:27:44 pm GMT+5:30","21","Whatsapp;Instagram","1 to 2.5","1 to 2.5","6","None","Text message"
"2022/01/02 10:28:05 pm GMT+5:30","21","Whatsapp","1 to 2.5","Less than 1","10","None","Face to face"
"2022/01/02 10:28:35 pm GMT+5:30","21","Whatsapp;Instagram","More than 4","1 to 2.5","5","Fake profiles","Text message"
"2022/01/02 10:28:42 pm GMT+5:30","20","Whatsapp","More than 4","Up to 4","4","Fake profiles","Face to face"
"2022/01/02 10:30:51 pm GMT+5:30","21","Instagram","Up to 4","Less than 1","0","None","Text message"
"2022/01/02 10:31:07 pm GMT+5:30","21","Youtube","Up to 4","Less than 1","10","None","Face to face"
"2022/01/02 10:32:56 pm GMT+5:30","50","Youtube","1 to 2.5","Less than 1","5","None","Face to face"
"2022/01/02 10:38:06 pm GMT+5:30","19","Whatsapp;Instagram;Youtube;Snapchat","Up to 4","Less than 1","5","None","Face to face"
"2022/01/02 10:39:56 pm GMT+5:30","20","Twitter;Whatsapp;Facebook;Instagram;Youtube","More than 4","1 to 2.5","2","None","Through phone;Text message;Face to face;Through social media"
"2022/01/02 10:40:24 pm GMT+5:30","53","Whatsapp;Facebook;Youtube","More than 4","None","8","Fake profiles","Through phone;Text message;Face to face;Through social media"
"2022/01/02 10:40:28 pm GMT+5:30","69","Whatsapp","Up to 4","1 to 2.5","5","None","Face to face"
"2022/01/02 10:41:05 pm GMT+5:30","21","Whatsapp","Less than 1","1 to 2.5","5","Fake profiles","Through phone"
"2022/01/02 10:41:12 pm GMT+5:30","50","Whatsapp;Youtube","1 to 2.5","1 to 2.5","1","None","Through phone;Face to face"
"2022/01/02 10:41:21 pm GMT+5:30","20","Instagram","1 to 2.5","1 to 2.5","4","None","Through phone;Text message;Face to face;Through social media"
